config,model,weighting,lambda_amp,donor,RMSE,MAPE,shape_MSE,SARIMA_RMSE,baseline_RMSE,improvement_vs_sarima_pct,improvement_vs_baseline_pct,a_transfer,fold_RMSE_std,mean_abs_log_amplitude,max_abs_log_amplitude
Model_B_weighted_lam0.01,Model_B,weighted,0.01,CMR,51.19420229973645,6.34380816908659,0.17705362011558257,35.02177869644508,16.74700406294494,-46.17819027259449,-205.69170525855847,0.24224145710468292,4159.25438358484,1.4170355200767517,1.4187548160552979
Model_B_weighted_lam0.1,Model_B,weighted,0.1,CMR,81.33003663891971,13.77086716515896,1.5702818353066188,35.02177869644508,16.74700406294494,-132.22703033976737,-385.63931992393583,0.13744262109200162,11970.796497579391,1.984549731016159,1.9845539331436157
Model_B_weighted_lam1.0,Model_B,weighted,1.0,CMR,155.56209615081983,21.303419635107012,0.4282782330447091,35.02177869644508,16.74700406294494,-344.1867373418424,-828.8950761946877,0.4690195702844196,10984.29105605943,0.7571101784706116,0.757111668586731
Model_B_weighted_lam10.0,Model_B,weighted,10.0,CMR,112.00344986448722,17.843102266778253,0.9039263280191606,35.02177869644508,16.74700406294494,-219.81085494054656,-568.7969349234847,0.35630831619103753,3504.0795148654274,1.0319082736968994,1.0320276021957397
Model_B_uniform_lam0.001,Model_B,uniform,0.001,CMR,45.818200006159366,6.6138673540559925,1.0817081603432712,35.02177869644508,16.74700406294494,-30.82773551650072,-173.5904274815247,0.05134654976427555,1179.3055519620902,2.969157874584198,2.96992826461792
Model_B_uniform_lam0.01,Model_B,uniform,0.01,CMR,52.017056493616735,8.450308702527416,0.3347310102683219,35.02177869644508,16.74700406294494,-48.52774025123051,-210.60514643757483,0.18372951447963715,3647.5150315202454,1.6942920982837677,1.6964486837387085
Model_B_uniform_lam0.1,Model_B,uniform,0.1,CMR,20.16408020105754,2.930069275275834,0.15135950527939354,35.02177869644508,16.74700406294494,42.42416875558547,-20.404104072998678,0.08768672496080399,11087.76600059581,2.4339847564697266,2.4339873790740967
Model_B_uniform_lam1.0,Model_B,uniform,1.0,CMR,185.27244903923534,31.33904388909052,1.633814994679571,35.02177869644508,16.74700406294494,-429.0206720940807,-1006.3020486701633,0.47831055521965027,2986.06157440099,0.7374950647354126,0.7374953627586365
Model_B_uniform_lam10.0,Model_B,uniform,10.0,CMR,64.56748020561247,10.601686187184235,0.8474460092661215,35.02177869644508,16.74700406294494,-84.36379478397666,-285.54645334132897,0.1503787375986576,8063.955640723435,1.8945982456207275,1.8946994543075562
Model_C_weighted_lam0.001,Model_C,weighted,0.001,CMR,21.44421095590109,3.2863994849271085,0.18156436417642005,35.02177869644508,16.74700406294494,38.76892678190041,-28.048042953243034,0.08816197224789195,676.5367138652211,2.428348422050476,2.4291229248046875
